paperId,url,title,abstract,venue,year,database,query_name,query_value,externalIds.DOI
40d15d05ca46245cb5e33a391e7892c3fe2bfc68,https://www.semanticscholar.org/paper/40d15d05ca46245cb5e33a391e7892c3fe2bfc68,position paper: rational behavior model (rbm) and human-robot ethical constraints using mission execution ontology (meo),"Autonomous systems can be ethically supervised by humans without constant communications. Adding constraints such as no-fly zones, time limitations, permission prerequisites etc. to mission orders allows operators to legally and ethically control mobile systems that have the potential for deliberate (or unintentional) lethal force. Ethical control can be practically achieved by providing parsable (and ethically validatable) orders to diverse unmanned systems. Ethical Control of Unmanned Systems The authors have been engaged for several decades in academic research and military service relating to mission specification and execution for submarines, aircraft, and ground vehicles, both manned and robotic. We have increasingly focused on maritime robotics, especially with regard to execution of unmanned underwater vehicle missions under varying degrees of human oversight and ethical constraints. This work has included numerous simulations and also deployed experiments (Brutzman et al. 1998; Brutzman, McGhee, and Davis 2012; Brutzman, Davis, Blais, and McGhee 2016). Common conclusions that treat ethical robots as an always-amoral philosophical conundrum or requiring undemonstrated morality-based artificial intelligence (AI) are simply not sensible or repeatable. For better or worse, actors around the world are rapidly designing and deploying mobile unmanned systems to augment human capabilities. Thus theory must meet practice. This contribution describes how mission orders can be specified in forms readable by both human operators and robot systems, including both syntactic validation of correctness and semantic validation of logical coherence. This approach has the potential to meet the moral requirements of international laws regarding human responsibility during armed conflict when unmanned systems are deployed. Copyright © 2017, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved. The path to reach our present point of view has come from understanding that the Rational Behavior Model (RBM) software architecture used in our work has broader applicability than previously realized. This is because RBM depends upon a software construct called a Mission Execution Automaton (MEA) that is an extension of a Turing machine (TM) allowing the incorporation of arbitrary external agents. Such agents are presumed to be capable of interaction with their environment and returning one of a predetermined set of values to the finite state machine (FSM) portion of the MEA. Ternary logic is helpful, where allowable values returned from a query/command to an external agent have been limited to the set [success, failure, constraint]. Applied to a multiphase mission, concise mission-branch definition simplifies execution logic needed by remote systems. When a value constraint is returned, it can be taken to mean either that the current environment makes it unethical to complete the current phase, that a phase timeout has occurred, or that success or failure of the current phase cannot be determined, etc. Exception-handling steps can then occur. Recent work has reached the next level, defining a Mission Execution Ontology (MEO) implemented in RDF/OWL that relates mission goals, task prerequisites and operating constraints with vehicle capabilities. MEO validation can be performed as part of tasking robotic or human external agents. This means that humanunderstandable orders to unmanned systems can further be semantically validated for logical correctness, ensuring that tasking of remote systems meets the same level of ethical rigor expected in human-to human orders. Confirmed validation makes authority meaningful for responsible humans. In three-level robot architectures such as RBM, existing vehicle commands/missions can be incorporated as behaviors subject to overall regulation by rational (finite state) supervision of a mission-definition graph. Such tasking can be understood by qualified humans who are not computer professionals, much in the same way that military mission orders written in structured human language are understandable. Well-specified definitions of mission tasks and constraints can also be performed by a wide variety of diverse robot control code. With such a common understanding, it is possible to assign legal and moral responsibility for correct and ethical mission definition to a single (legally culpable) human individual. We believe that this kind of strong accountability is essential to military accountability, and may eventually become relevant for emerging robotic technologies affecting public safety. Algorithms cannot replace human responsibility. Even so, a fully testable technology (such as that provided by the MEA and MEO formalisms) allows for the assignment of human accountability. Specifically, the MEA provides a mathematically rigorous mechanism for mission definition and execution as an exhaustively testable flow diagram. This approach ensures that accountable operators can fully understand all high-level task sequences before authorizing robot operations. The MEO employs description logics (DLs) and Semantic Web technologies to provide strong assurances that MEA mission definitions are semantically correct and fully executable by specific target vehicles. By applying the best strengths of human ethical responsibility, repeatable formal logic and directable unmanned systems together, these capabilities provide a practical framework for ethically grounded human supervision of unmanned systems.",AAAI Fall Symposia,2017,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',
9dacbc65c23215f79a9a966abf8c403175e56aa8,https://www.semanticscholar.org/paper/9dacbc65c23215f79a9a966abf8c403175e56aa8,societal impact of data science and artificial intelligence,"The explosion of interest in KDD and other Data Science/Machine Learning/AI conferences is just one of the many signs that these technologies are no longer confined to the realms of academia and a hand-full of tech companies. As our daily lives seamlessly integrate more and more data-driven applications, people's excitement is tempered by worry about the technologies' potential to disrupt their existence. Having worked for almost 30 years to design and develop these technologies, the KDD community now should examine and debate the impact of Machine Learning & AI on the broader world. Beyond the hype, where do we stand with respect to the dangers? What role can our community play to alleviate concerns around AI taking jobs, or taking over? How can the value derived from data be distributed fairly? Are concerns about inequity well-founded or rather largely problems of perception? What can be done to bring data hunger and data sharing concerns to a level of equilibrium? How do we prepare people to interact with intelligent systems at scale? Can we unleash the incredible responsiveness of the KDD community toward longer-term more impactful projects across sectors that are essential for social good, such as Health, Environmental Sustainability, and Public Welfare.",Knowledge Discovery and Data Mining,2018,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1145/3219819.3226071
2eedf3d19edacc862bf7ab324a74172bb35a14e1,https://www.semanticscholar.org/paper/2eedf3d19edacc862bf7ab324a74172bb35a14e1,"big data and ai – a transformational shift for government: so, what next for research?","Big Data and artificial intelligence will have a profound transformational impact on governments around the world. Thus, it is important for scholars to provide a useful analysis on the topic to public managers and policymakers. This study offers an in-depth review of the Policy and Administration literature on the role of Big Data and advanced analytics in the public sector. It provides an overview of the key themes in the research field, namely the application and benefits of Big Data throughout the policy process, and challenges to its adoption and the resulting implications for the public sector. It is argued that research on the subject is still nascent and more should be done to ensure that the theory adds real value to practitioners. A critical assessment of the strengths and limitations of the existing literature is developed, and a future research agenda to address these gaps and enrich our understanding of the topic is proposed.",Public Policy and Administration,2018,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1177/0952076718780537
97bb2019d50fbd3694279ab837c6f68d6ed9ad84,https://www.semanticscholar.org/paper/97bb2019d50fbd3694279ab837c6f68d6ed9ad84,a review of artificial intelligence in government and its potential from a public policy perspective,"Artificial intelligence (AI) is the latest trend being implemented in the public sector. Recent advances in this field and the AI explosion in the private sector have served to promote a revolution for government, public service management, accountability, and public value. Incipient research to understand, conceptualize and express challenges and limitations is now ongoing. This paper is the first approach in such a direction; our research question is: What are the current AI trends in the public sector? In order to achieve that goal, we collected 78 papers related to this new field in recent years. We also used a public policy framework to identify future areas of implementation for this trend. We found that only normative and exploratory papers have been published so far and there are a lot of public policy challenges facing in this area, and that AI implementation results are unknown and unexpected; since there may be great benefits for governments and society, but, on the other hand, it may have negative results like the so-called ”algorithmic bias” of AI when making important decisions for social development. However, we consider that AI has potential benefits in the public health, public policies on climate change, public management, decision-making, disaster prevention and response, improving government-citizen interaction, personalization of services, interoperability, analyzing large amounts of data, detecting abnormalities and patterns, and discovering new solutions through dynamic models and simulation in real time.",Digital Government Research,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1145/3325112.3325242
ed5fbb58585ae1e9154ade1b4639060ace9c45ec,https://www.semanticscholar.org/paper/ed5fbb58585ae1e9154ade1b4639060ace9c45ec,a realist perspective on ai-era public management*,"Recent years have witnessed a number of significant ideas and approaches to addressing the shortcomings of the New Public Management paradigm. Three of these recent ideas, which include Digital Era Governance, Public Value Management, and New Public Governance, emphasise partnerships collaboration and engagement of citizens; performance governance and innovation and recognize the transformational potentials of digital technologies. Artificial Intelligence (AI) is one of the digital technologies attracting the greatest interest in public administration in terms of its potential impact. There are already a number of reports on how AI is being deployed in the public sector with good outcomes. By employing a realist review approach, this study investigates the specific mechanisms across post-NPM, organisational, individual and innovation contexts which are associated with positive outcomes from AI initiatives in the public sector. The study further examined the specific applications of AI initiatives within Post-NPM agendas. Our findings provide some empirical evidence for a better understanding of the conditions and where to target AI-based solutions in post-NPM context for positive outcomes.",Digital Government Research,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1145/3325112.3325261
9eacf62f1e546748428c7e4843731b1595294200,https://www.semanticscholar.org/paper/9eacf62f1e546748428c7e4843731b1595294200,the data firehose and ai in government: why data management is a key to value and ethics,"Technical and organizational innovations such as Open Data, Internet of Things and Big Data have fueled renewed interest in policy analytics in the public sector. This revamped version of policy analysis continues the long-standing tradition of applying statistical modeling to better understand policy effects and decision making, but also incorporates other computational approaches such as artificial intelligence (AI) and computer simulation. Although much attention has been given to the development of capabilities for data analysis, there is much less attention to understanding the role of data management in a context of AI in government. In this paper, we argue that data management capabilities are foundational to data analysis of any kind, but even more important in the present AI context. This is so because without proper data management, simply acquiring data or systems will not produce desired outcomes. We also argue that realizing the potential of AI for social good relies on investments specifically focused on this social outcome, investments in the processes of building trust in government data, and ensuring the data are ready and suitable for use, for both immediate and future uses.",Digital Government Research,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1145/3325112.3325245
b4fcc459433d2fc35b0214f81a2145bcbc74fe5f,https://www.semanticscholar.org/paper/b4fcc459433d2fc35b0214f81a2145bcbc74fe5f,artificial intelligence and law: what do people really want?: example of a french multidisciplinary working group,"This paper addresses issues related to the ethical consequences of using AI technologies in court decisions. With the prodigious technological leap made in the field of artificial intelligence in recent years, disruptive innovations have affected many business sectors, with economic, social and ethical consequences. But what do people really want about the application of artificial intelligence technologies in the law system? This article presents a general methodological approach to take into account the ethical aspect of the introduction of a new technology in a given domain. We apply this methodology in the specific case of the introduction of AI technologies in the law system. As a multidisciplinary working group interested in this application in the case of France, we have organized a series of workshops to discuss this topic and highlight the respective values and interests of each stakeholder. The result of this work in presented in the form of an ethical matrix that can be used as a tool by the public authorities to help decision-making on the subject with a prioritization of certain values in order to reflect the respect for fundamental rights.",International Conference on Artificial Intelligence and Law,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1145/3322640.3326722
28b167de9fd1443bfd7c186550909880765a3470,https://www.semanticscholar.org/paper/28b167de9fd1443bfd7c186550909880765a3470,an overview of deep learning in the field of dentistry,"Purpose Artificial intelligence (AI), represented by deep learning, can be used for real-life problems and is applied across all sectors of society including medical and dental field. The purpose of this study is to review articles about deep learning that were applied to the field of oral and maxillofacial radiology. Materials and Methods A systematic review was performed using Pubmed, Scopus, and IEEE explore databases to identify articles using deep learning in English literature. The variables from 25 articles included network architecture, number of training data, evaluation result, pros and cons, study object and imaging modality. Results Convolutional Neural network (CNN) was used as a main network component. The number of published paper and training datasets tended to increase, dealing with various field of dentistry. Conclusion Dental public datasets need to be constructed and data standardization is necessary for clinical application of deep learning in dental field.",Imaging Science in Dentistry,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.5624/isd.2019.49.1.1
3d863678d53ef04773b3e6052995b85db1903e28,https://www.semanticscholar.org/paper/3d863678d53ef04773b3e6052995b85db1903e28,intelligent solutions - based framework for digital public services. a case study for smart transportation,"Digital technology landscape is continuously improving, dragging along both the transformation of public services and new demands of citizens. Emerging new technologies like Artificial Intelligence, Machine Learning, Deep Learning or Internet of Things provide tremendous means to implement intelligent solutions for reshaping digital public services. This paper aims to disclose the most important features of several intelligent technologies and of these types of public services that can be integrated for providing new capabilities. An AI-based architecture for supporting digital public services in the smart transportation sector is presented in order to demonstrate the highlighted ideas and concepts.",European Conference on Artificial Intelligence,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',10.1109/ECAI46879.2019.9042157
c4a51fe5e1993e1a068eda83a98ce2ea54823253,https://www.semanticscholar.org/paper/c4a51fe5e1993e1a068eda83a98ce2ea54823253,prediction of real estate prices in california,"The talk will present our efforts over the past year and a half to launch a start-up for US real estate valuation. The start-up called Babcock & Bonbright was built as part of the Central Europe AI portfolio – a start-up studio focused on using artificial intelligence to innovate in the financial and healthcare sectors. The presentation will focus mainly on the technological aspect of the project – linking structured data, NLP, and image processing to a comprehensive system for estimating the value of dwellings and apartments using machine learning. Attention will also be paid to the processing of map data, system architecture and data pipeline design. Our pricing models leverage several types of machine learning models in a hierarchical manner. For the pricing estimation, we use socalled “comparables” – recently sold houses that are close and somewhat similar (comparable) to the subject property. The main pricing model is used to compute the adjusted price for each comparable in the neighborhood using gradient boosted decision trees. The comparables are selected by location, feature similarity and image similarity. The pricing model uses features from both the subject property and comparable property, as well as combined features such as distance, image similarity, ratios of selected original features, common categorical features, common points of interest in the area, etc. The final price estimation for the subject property is determined by averaging price adjustments across all of the comparables. Bulk of the features are created from structured and semi-structured data about the property – public sale records, offers listings, map and traffic data, school districts, and crime. The text description of the property from the agent/broker listing is also analyzed. Sentiment is extracted by a pretrained sentiment neuron model and rule-based Copyright c ©2019 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).",Conference on Theory and Practice of Information Technologies,2019,semantic_scholar,architecture,'architecture' AND ('generative ai' OR 'artificial intelligence') AND 'public sector' AND 'public value',
