doi,url,database,title,abstract,publisher,publication_date,domain
8e999d58b26d608ffbf8cd09e329084f8f12fa85,https://www.semanticscholar.org/paper/8e999d58b26d608ffbf8cd09e329084f8f12fa85,semantic_scholar,Cost-Aware Multimedia Data Allocation for Heterogeneous Memory Using Genetic Algorithm in Cloud Computing,"Recent expansions of Internet-of-Things (IoT) applying cloud computing have been growing at a phenomenal rate. As one of the developments, heterogeneous cloud computing has enabled a variety of cloud-based infrastructure solutions, such as multimedia big data. Numerous prior researches have explored the optimizations of on-premise heterogeneous memories. However, the heterogeneous cloud memories are facing constraints due to the performance limitations and cost concerns caused by the hardware distributions and manipulative mechanisms. Assigning data tasks to distributed memories with various capacities is a combinatorial NP-hard problem. This paper focuses on this issue and proposes a novel approach, Cost-Aware Heterogeneous Cloud Memory Model (CAHCM), aiming to provision a high performance cloud-based heterogeneous memory service offerings. The main algorithm supporting CAHCM is Dynamic Data Allocation Advance (2DA) Algorithm that uses genetic programming to determine the data allocations on the cloud-based memories. In our proposed approach, we consider a set of crucial factors impacting the performance of the cloud memories, such as communication costs, data move operating costs, energy performance, and time constraints. Finally, we implement experimental evaluations to examine our proposed model. The experimental results have shown that our approach is adoptable and feasible for being a cost-aware cloud-based solution.",IEEE Transactions on Cloud Computing,2020,citation
2cef4468bcc5be7bacbacea5079534e13c276360,https://www.semanticscholar.org/paper/2cef4468bcc5be7bacbacea5079534e13c276360,semantic_scholar,Data-Aware Task Allocation for Achieving Low Latency in Collaborative Edge Computing,"The recent trend in the Internet of Things (IoT) is to distribute and move the computation from centralized cloud devices to edge devices which are closer to data sources. Researchers have proposed collaborative edge computing for IoT where the data and computation tasks are shared among a network of edge devices. One of the important problems in collaborative edge computing is to schedule tasks among edge devices to minimize latency and other performance metrics. Compared to existing works in wireless sensor networks and IoT, there are two additional challenges while scheduling tasks in collaborative edge computing. First, we need to consider the transfer of input data required by different tasks as the data is generated by sensing devices which are located at different geographical places. Second, existing works solve the problem of task scheduling without considering network flow scheduling which can lead to network congestion and long completion times. In this paper, we study the data-aware task allocation problem to jointly schedule task and network flows in collaborative edge computing. We mathematically model the joint problem to minimize the overall completion time of the application. We have proposed a multistage greedy adjustment (MSGA) algorithm where the task scheduling is done by considering both placement of tasks and adjustment of network flows. Performance comparison done using simulation shows that MSGA leads to up to 27% improvement in completion time as compared to benchmark solutions.",IEEE Internet of Things Journal,2019,citation
b255bc0b959fe46252c85f53820b62ebb770afee,https://www.semanticscholar.org/paper/b255bc0b959fe46252c85f53820b62ebb770afee,semantic_scholar,QuantCloud: Enabling Big Data Complex Event Processing for Quantitative Finance Through a Data-Driven Execution,"Quantitative Finance (QF) utilizes increasingly sophisticated mathematic models and advanced computer techniques to predict the movement of global markets, and price the derivatives and other assets. Being able to react quickly and intelligently to fast-changing markets is a decisive success factor for trading companies. To date, the rise of QF requires an integrated toolchain of enabling technologies to carry out complex event processing on the explosive growth and diversified forms of market metadata, in pursuit of a microsecond latency on an Exabyte-level dataset. Inspired by this, we present a data-driven execution paradigm that untangles the dependencies of complex processing events and integrate the paradigm with a big data infrastructure that streams time series data. This integrated platform is termed as the QuantCloud platform. Essentially, QuantCloud executes the complex event processing in a data-driven mode and manages large amounts of diversified market data in a data-parallel mode. To show its practicability and performance, we develop a prototype and benchmark by applying real-world QF research models on the New York Stock Exchange (NYSE) data. Using this prototype, we demonstrate this platform with an application to: (i) data cleaning and aggregating (including the computing of logarithmic returns from tick data and the finding the medians of grouped data) and (ii) data modeling: the autoregressive-moving average (ARMA) model. The performance results show that (a) this platform obtains a high throughput (usually in the order of millions of tick messages per second) and a sub-microsecond latency; (b) it fully executes data-dependent tasks through a data-driven execution; and (c) it implements a modular design approach for rapidly developing these data-crunching methods and QF research models. This platform resulting from an aggregated effort of the data-driven execution and big data infrastructure, offers the financial engineers with new insights and enhanced capabilities for effective and efficient incorporation of big data complex event processing technologies in their workflow.",IEEE Transactions on Big Data,2019,citation
3f834d985b5ee95a58d5042bba9f815dde70c190,https://www.semanticscholar.org/paper/3f834d985b5ee95a58d5042bba9f815dde70c190,semantic_scholar,Design process for the optimization of embedded software architectures on to multi-core processors in automotive industry,"The recent migration from single-core to multi-core platforms in the automotive domain reveals great challenges for the legacy embedded software design flow. First of all, software designers need new methods to fill the gap between applications description and tasks deployment. Secondly, the use of multiple cores has also to remain compatible with real-time and safety design constraints. Finally, developers need tools to assist them in the new steps of the design process. Face to these issues, we proposed a method integrated in the AUTOSAR (AUTomotive Open System ARchitecture) design flow for partitioning the automotive applications onto multi-core systems. The method proposes the partitions solution that contains allocation of application as well as scheduling policy simultaneously. The design space of the partitioning is explored automatically and the solutions are evaluated thanks to our proposed objective functions that consider certain criteria such as communication overhead and global jitters. For the scheduling part, we present a formalization of periodic dependencies adapted to this automotive framework and propose a scheduling algorithm taking into account this specificity. Our defined constraints from real-time aspect as well as functional aspect make sure the applicability of our method on the real life user case. We leaded experiments with a complex and real world control application onto a concrete multi-core platform.",,2017,citation
93b84346b6df9d359f31f02fffa78b1380d3cc89,https://www.semanticscholar.org/paper/93b84346b6df9d359f31f02fffa78b1380d3cc89,semantic_scholar,Can quantitative finance benefit from IoT?,"The Internet of Things (IoT) is a novel paradigm that communicates information among smart devices that are connected to the Internet. In this context, such devices would leverage our understanding and capabilities of big data, deep analysis and artificial intelligence to solve problems in real-time. The IoT paradigm has successfully benefited many applications in the social sciences and industries. However, in the rise of IoT, there is at least one question that has been left unanswered: Can Quantitative Finance (QF) benefit from IoT? The QF is a field that extends sophisticated mathematical models and utilizes advanced computer techniques to link with global finance markets. By taking market and social information as input, a QF model can derive profitable insights and control the risk to make trading decisions. Today, many Internet-based techniques are extensively employed in the field as: (a) market and social data is provided via Internet; (b) big data infrastructures are built in the Cloud; and (c) deep learning tools are accessible in Internet. Even trading models and strategies could be exerted through Internet. In this paper, we will provide an overview of challenges and opportunities presented by this new paradigm in the QF industry. To unlock the potential of IoT, a system architecture, termed QuantCloud, is proposed for modern quantitative trading firms in the field.",SmartIoT@SEC,2017,citation
e631cdf6915f2544bb241fa5f56953291c7bcfcb,https://www.semanticscholar.org/paper/e631cdf6915f2544bb241fa5f56953291c7bcfcb,semantic_scholar,Quantitative Data Analysis in Finance,"Quantitative tools have been widely adopted in order to extract the massive information from a variety of financial data. Mathematics, statistics and computers algorithms have never been so important to financial practitioners in history. Investment banks develop equilibrium models to evaluate financial instruments; mutual funds applied time series to identify the risks in their portfolio; and hedge funds hope to extract market signals and statistical arbitrage from noisy market data. The rise of quantitative finance in the last decade relies on the development of computer techniques that make processing large datasets possible. As more data is available at a higher frequency, more researches in quantitative finance have switched to the microstructures of financial market. High frequency data is a typical example of big data that is characterized by the 3V’s: velocity, variety and volume. In addition, the signal-to-noise ratio in financial time series is usually very small. High frequency datasets are more likely to be exposed to extreme values, jumps and errors than the low frequency ones. Specific data processing techniques and quantitative models are elaborately designed to extract information from financial data efficiently. In this chapter, we present the quantitative data analysis approaches in finance. First, we review the development of quantitative finance in the past decade. Then we discuss the characteristics of high frequency data and the challenges it brings. The quantitative data analysis consists of two basic steps: (i) data cleaning and aggregating; (ii) data modeling. We review the mathematics tools and computing technologies behind the two steps. The valuable information extracted from raw data is represented by a group of statistics. The most widely used statistics in finance are expected return and volatility, which are the fundamentals of modern portfolio theory. We further introduce some simple portfolio optimization strategies as an example of the application of financial data analysis. Big data has already changed financial industry fundamentally; while quantitative tools for addressing massive financial data still have a long way to go. Adoptions of advanced statistics, information theory, machine learning and faster computing algorithms are inevitable in order to predict complicated financial markets. These topics are briefly discussed in the later part of this chapter.",Handbook of Big Data Technologies,2017,citation
060bb7e3807004c05f406fed7fb5a2f6fcd8405d,https://www.semanticscholar.org/paper/060bb7e3807004c05f406fed7fb5a2f6fcd8405d,semantic_scholar,Generation of schedule tables on multi-core systems for AUTOSAR applications,"The recent migration from single-core to multi-core platforms in the automotive domain reveals great challenges for the legacy embedded software design flow. First of all, software designers need new methods to fill the gap between application description and tasks deployment. Secondly, the use of multiple cores has also to remain compatible with real-time and safety design constraints. Finally, developers need tools to assist them in the new steps of the design process. We propose in this paper a method integrated in the AUTOSAR design flow for the generation of schedule tables imposing the execution constraints onto a multi-core architecture. We consider an engine control application described in AUTOSAR as a set of periodic and dependent runnables. For that, we propose a formalization of periodic dependencies adapted to this automotive framework and present a scheduling algorithm taking into account this specificity. We leaded experiments with a complex and real world control application onto automotive multi-core systems. We present our working process enabling the generation of several execution schemes for this industrial application. The results show that our scheduling method benefits the multi-core migration to generate solutions best suited to safety standards by reducing the total jitter.",2016 Conference on Design and Architectures for Signal and Image Processing (DASIP),2016,citation
7de4f1a215b59252984da74485022d513c2a5409,https://www.semanticscholar.org/paper/7de4f1a215b59252984da74485022d513c2a5409,semantic_scholar,Scalability Test of multiscale fluid-platelet model for three top supercomputers,,Comput. Phys. Commun.,2016,citation
b89f19be61893fc08946092a5aac57473887f599,https://www.semanticscholar.org/paper/b89f19be61893fc08946092a5aac57473887f599,semantic_scholar,A Survey of Homogeneous and Heterogeneous System Architectures in High Performance Computing,"The TOP500 and GREEN500 lists are two major resources to understand and forecast the future architecture design of high performance computing platform. Generally, supercomputer system design can be divided to two parts: single computing node and interconnection. Regardless interconnection, we categorize the systems into two types: homogeneous and heterogeneous, based on single node architecture. While general-purpose graphic processing unit (GPGPU) is introduced to parallel computing system, heterogeneous computing model is getting a more attractive solution to extreme scales system. Now about 25% of Top 100 supercomputers is designed by heterogeneous model. In this comparative study, we will focus on the Top 100 and Top 500 supercomputers and analyze the data to November 2015. Linpack and power efficiency will be the two main measurements to evaluate those systems. We also will highlight the latest progresses and point out the possible trends.",2016 IEEE International Conference on Smart Cloud (SmartCloud),2016,citation
9ae92b6531985dd3edc2b517b3ea8e026f7fe65f,https://www.semanticscholar.org/paper/9ae92b6531985dd3edc2b517b3ea8e026f7fe65f,semantic_scholar,Interest packets scheduling and size-based flow control mechanism for content-centric networking web servers,,Future Gener. Comput. Syst.,2020,citation
